date,home_team,away_team,home_score,away_score,tournament,neutral,home_form,home_avg_scored,home_avg_conceded,away_form,away_avg_scored,away_avg_conceded,home_elo,away_elo,elo_diff,result
1936-02-27,Portugal,Germany,1.0,3.0,Friendly,False,-7.933442440597694,1.2,4.0,-1.1304620735965552,1.0,2.0,1678,1888,-210,L
1936-03-08,France,Belgium,3.0,0.0,Friendly,False,-1.2402466508881296,1.2,2.4,-0.6861240643217226,1.8,2.4,1648,1534,114,W
1936-03-29,Netherlands,Belgium,8.0,0.0,Friendly,False,1.238001325841262,2.8,1.4,-1.2703812765171407,1.6,2.8,1713,1534,179,W
1936-04-04,England,Scotland,1.0,1.0,British Home Championship,False,1.5713139202986197,2.2,0.6,1.3105607773558225,2.6,1.4,2012,1951,61,D
1936-05-03,Belgium,Netherlands,1.0,1.0,Friendly,False,-1.7742794870351957,1.4,3.2,2.9113593607698864,4.0,0.8,1534,1713,-179,D
1936-05-03,Switzerland,Spain,0.0,2.0,Friendly,False,-0.6296364131426349,1.2,2.0,0.16591770346326185,2.4,2.2,1684,1977,-293,L
1936-05-06,Austria,England,2.0,1.0,Friendly,False,0.5886296872866864,3.2,2.2,0.9870567081032018,1.6,0.6,1892,2012,-120,W
1936-05-09,Belgium,England,3.0,2.0,Friendly,False,-1.3694119285842445,1.6,3.0,0.4176304587173558,1.2,1.0,1534,2012,-478,W
1936-05-24,Switzerland,Belgium,1.0,1.0,Friendly,False,-0.7615197158954841,1.2,1.8,-1.1316438236212225,1.8,3.0,1684,1534,150,D
1936-06-18,Norway,Switzerland,1.0,2.0,Friendly,False,-0.6065922876616264,1.2,2.0,0.13093790273311562,1.4,1.2,1707,1684,23,L
1936-06-21,Sweden,Switzerland,5.0,2.0,Friendly,False,-0.4666730847410408,1.8,2.2,0.3326626319437909,1.4,1.0,1765,1684,81,W
1936-07-04,New Zealand,Australia,1.0,7.0,Soccer Ashes,False,-0.5849662622102183,2.6666666666666665,4.666666666666667,0.5328510861223988,4.666666666666667,2.6666666666666665,1503,1650,-147,L
1936-07-05,Sweden,Norway,2.0,0.0,Nordic Championship,False,0.13034702772078205,2.2,2.0,-0.8055989918155674,1.0,2.0,1765,1707,58,W
1936-07-11,New Zealand,Australia,0.0,10.0,Soccer Ashes,False,-1.1699325244204366,2.25,5.25,1.0657021722447977,5.25,2.25,1503,1650,-147,L
1936-07-18,New Zealand,Australia,1.0,4.0,Soccer Ashes,False,-2.1448762947708007,1.8,6.2,1.953787315782129,6.2,1.8,1503,1650,-147,L
1936-07-26,Sweden,Norway,3.0,4.0,Friendly,False,-0.11415705238284246,2.0,1.8,-1.014177871169312,0.4,1.8,1765,1707,58,L
1936-08-09,Argentina,Uruguay,1.0,0.0,Friendly,False,0.5905795748273871,1.4,1.2,-0.5938293873952216,1.2,1.4,2010,1999,11,W
1936-09-20,Uruguay,Argentina,2.0,1.0,Friendly,False,-0.8313611423533103,0.8,1.2,0.8268114047583419,1.2,0.8,1999,2010,-11,W
1936-10-14,Scotland,Germany,2.0,0.0,Friendly,False,1.3105607773558225,2.4,1.2,-0.5002347854415868,1.4,1.8,1951,1888,63,W
